"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 30-Jul-2021","30 D % CHNG 
 01-Jul-2022"
"NIFTY 50","17,401.50","17,485.90","17,359.75","17,397.50","17,471.65","74.15","0.43",118946841,"80,122,442,049.12","18,604.45","15,183.40","7.14","7.26"
"COALINDIA","209.50","214.70","207.05","208.45","214.00","5.55","2.66",6757560,"1,426,791,218.40","217.25","132.75","42.68","9.83"
"HINDALCO","414.90","421.00","414.00","410.80","420.50","9.70","2.36",3978674,"1,662,687,864.60","636.00","308.95","-7.09","14.89"
"M&M","1,245.00","1,268.65","1,242.65","1,235.90","1,262.95","27.05","2.19",2598785,"3,274,728,978.50","1,278.50","671.15","62.99","9.02"
"NTPC","155.50","159.80","154.95","155.60","159.00","3.40","2.19",5948094,"940,869,508.92","166.35","111.95","32.26","8.28"
"HDFCBANK","1,428.00","1,460.00","1,427.10","1,427.05","1,455.70","28.65","2.01",3902935,"5,653,206,200.75","1,725.00","1,271.60","-4.39","2.14"
"RELIANCE","2,531.00","2,581.25","2,531.00","2,534.00","2,575.00","41.00","1.62",2269746,"5,816,110,637.70","2,856.15","2,066.50","21.30","5.96"
"AXISBANK","730.00","742.60","728.10","728.50","740.25","11.75","1.61",3580055,"2,637,426,518.50","866.90","618.25","-1.67","8.87"
"APOLLOHOSP","4,388.95","4,452.00","4,380.05","4,374.10","4,439.60","65.50","1.50",179710,"794,091,765.40","5,935.40","3,361.55","7.00","11.13"
"DRREDDY","4,156.85","4,226.50","4,156.85","4,156.85","4,217.10","60.25","1.45",205929,"865,060,365.33","5,077.00","3,654.00","-13.15","-5.66"
"BAJAJFINSV","15,065.00","15,356.00","15,040.75","15,085.85","15,300.00","214.15","1.42",158948,"2,422,787,142.72","19,325.00","10,727.20","7.71","25.68"
"HDFC","2,360.00","2,396.40","2,342.15","2,355.20","2,386.60","31.40","1.33",1016930,"2,413,978,264.70","3,021.10","2,026.00","-10.38","5.15"
"LT","1,796.40","1,814.80","1,790.25","1,787.45","1,810.90","23.45","1.31",855579,"1,545,218,452.95","2,078.55","1,456.35","11.00","5.93"
"INDUSINDBK","1,036.30","1,057.70","1,033.70","1,036.30","1,048.60","12.30","1.19",1148959,"1,206,797,596.06","1,242.00","763.20","0.66","22.12"
"MARUTI","8,841.20","8,969.00","8,841.00","8,841.20","8,925.65","84.45","0.96",174353,"1,555,406,600.06","9,196.85","6,536.55","24.51","4.31"
"ADANIPORTS","812.90","819.65","811.00","810.25","815.70","5.45","0.67",1417714,"1,157,194,875.36","924.65","651.95","14.01","13.21"
"TATACONSUM","781.50","793.90","781.00","784.80","789.75","4.95","0.63",415550,"327,403,534.00","889.00","650.20","0.44","3.07"
"ITC","310.95","312.85","310.05","310.85","312.65","1.80","0.58",3700930,"1,154,653,150.70","316.65","204.35","45.09","6.07"
"BAJFINANCE","7,300.00","7,380.00","7,264.00","7,304.70","7,333.00","28.30","0.39",394724,"2,897,147,848.32","8,050.00","5,220.00","17.36","24.37"
"TITAN","2,460.00","2,474.70","2,433.15","2,432.80","2,441.95","9.15","0.38",888957,"2,178,593,588.61","2,768.00","1,763.20","36.08","13.45"
"JSWSTEEL","670.50","676.00","662.45","667.15","669.55","2.40","0.36",1182078,"789,840,878.04","790.00","520.05","-11.91","17.83"
"POWERGRID","225.00","226.30","223.40","223.65","224.35","0.70","0.31",3000011,"674,342,472.58","248.35","170.20","27.80","2.22"
"TATAMOTORS","466.00","471.60","464.45","465.25","466.50","1.25","0.27",5006496,"2,342,289,153.60","536.70","268.45","55.06","5.37"
"BAJAJ-AUTO","4,013.00","4,035.00","4,000.00","4,013.10","4,020.90","7.80","0.19",67055,"269,400,168.00","4,091.00","3,027.05","4.29","4.92"
"ONGC","136.30","136.80","135.05","136.50","136.75","0.25","0.18",4574713,"622,389,703.65","194.95","108.50","17.02","12.35"
"ICICIBANK","836.60","838.00","831.15","838.20","834.45","1.25","0.15",5093241,"4,248,934,439.43","867.00","642.15","20.15","10.92"
"KOTAKBANK","1,830.00","1,842.00","1,816.80","1,833.90","1,836.50","2.60","0.14",621517,"1,137,662,007.82","2,253.00","1,631.00","3.19","5.11"
"TATASTEEL","107.85","108.15","106.70","107.35","107.45","0.10","0.09",22436949,"2,408,830,844.64","153.45","82.70","-92.49","-87.88"
"HDFCLIFE","541.00","543.40","538.00","539.25","539.60","0.35","0.06",934232,"505,456,881.28","775.65","497.05","-19.92","-1.12"
"EICHERMOT","3,090.00","3,115.00","3,072.15","3,089.60","3,090.70","1.10","0.04",184728,"571,454,220.72","3,196.50","2,159.55","12.46","5.39"
"BHARTIARTL","707.95","709.85","699.00","703.65","703.50","-0.15","-0.02",3322516,"2,341,111,223.92","781.80","571.78","15.75","1.22"
"SBILIFE","1,261.20","1,270.70","1,251.25","1,266.65","1,265.55","-1.10","-0.09",347538,"438,624,234.42","1,317.25","1,003.50","10.08","10.44"
"SUNPHARMA","919.80","919.80","910.45","915.95","915.10","-0.85","-0.09",955750,"873,574,615.00","967.05","733.70","16.65","6.79"
"TECHM","1,056.00","1,059.40","1,049.05","1,058.20","1,057.00","-1.20","-0.11",801903,"845,414,256.78","1,838.00","943.70","-16.32","3.09"
"HCLTECH","957.75","961.80","950.05","957.75","955.80","-1.95","-0.20",499934,"477,122,011.58","1,377.75","877.35","-8.78","-2.62"
"DIVISLAB","3,910.00","3,919.75","3,875.00","3,912.20","3,902.45","-9.75","-0.25",116791,"454,433,781.00","5,425.10","3,365.55","-20.42","6.56"
"CIPLA","1,036.20","1,039.50","1,024.10","1,034.20","1,026.60","-2.60","-0.25",404993,"416,984,842.73","1,083.00","850.00","13.49","10.56"
"TCS","3,365.00","3,373.20","3,336.00","3,365.05","3,356.30","-8.75","-0.26",394099,"1,319,951,839.71","4,043.00","2,953.00","1.67","3.05"
"UPL","743.40","745.65","736.55","743.45","740.70","-2.75","-0.37",681391,"505,312,751.69","848.00","607.50","-4.35","7.71"
"HINDUNILVR","2,645.40","2,658.00","2,626.05","2,645.40","2,634.55","-10.85","-0.41",327007,"863,556,815.53","2,859.30","1,901.55","11.55","5.95"
"GRASIM","1,597.50","1,601.65","1,585.00","1,598.30","1,591.00","-7.30","-0.46",127905,"203,594,062.80","1,929.80","1,276.60","4.40","14.87"
"NESTLEIND","19,905.00","19,987.30","19,785.05","19,921.50","19,813.25","-108.25","-0.54",9455,"187,645,348.25","20,609.15","16,000.00","10.55","8.16"
"INFY","1,617.00","1,618.00","1,596.00","1,616.65","1,603.80","-12.85","-0.79",1384908,"2,221,087,752.24","1,953.90","1,367.15","-2.03","6.75"
"SHREECEM","21,199.95","21,272.30","21,003.50","21,237.40","21,065.10","-172.30","-0.81",8140,"171,697,427.00","31,469.95","17,865.20","-25.19","6.54"
"WIPRO","442.80","442.80","435.65","440.00","436.10","-3.90","-0.89",1996546,"874,227,597.02","739.85","391.00","-26.42","4.99"
"ASIANPAINT","3,465.00","3,476.95","3,436.55","3,473.90","3,442.65","-31.25","-0.90",340912,"1,177,213,454.56","3,590.00","2,560.00","17.11","20.63"
"ULTRACEMCO","6,755.00","6,775.20","6,695.10","6,775.20","6,702.90","-72.30","-1.07",83415,"561,036,777.75","8,269.00","5,157.05","-10.00","16.03"
"HEROMOTOCO","2,770.00","2,793.30","2,732.00","2,770.70","2,736.00","-34.70","-1.25",271963,"750,808,254.10","2,954.45","2,146.85","-2.23","-2.76"
"BRITANNIA","3,688.10","3,701.90","3,612.80","3,688.10","3,625.55","-62.55","-1.70",151983,"555,169,581.72","4,153.00","3,050.00","2.33","-3.38"
"SBIN","524.00","524.00","513.85","531.05","516.15","-14.90","-2.81",18670081,"9,654,112,184.29","549.00","401.25","21.90","8.70"
"BPCL","329.50","330.00","320.20","336.40","323.90","-12.50","-3.72",5354459,"1,729,008,355.69","503.00","293.35","-26.16","3.41"
